id,jenis,forklift_id,tanggal,teknisi,report_no,description,recommendation,items_used,next_pm,deleted_at,updated_at,created_at
49,Lapangan,338,2025-10-31,"Afrizal, Mesman",28284,<ul><li>Universal Joint Rusak</li><li>Ganti Filter Udara</li></ul><br>,<ul><li>Switch Engine Oil</li></ul>,Universal Join 2 pcsFilter Udara 1 pc,,,2025-10-31 14:40:00,2025-10-31 14:40:00
52,Lapangan,530,2025-10-31,"Toyib, Liping",28410,<ul><li>Cek dan ganti plug auto filling battery</li></ul>,<ul><li>Plug battery Assy</li></ul>,<ul><li>Plug Battery (auto filling) 1 pc</li></ul>,,,2025-10-31 16:21:24,2025-10-31 16:21:24
53,Lapangan,510,2025-11-03,"Toyib, Liping",28471,<ul><li>Repair sensor rak dan ganti relay 24V DC</li></ul>,<ul><li>Relay 24V DC 3 Kotak</li></ul>,<ul><li>Relay 24V DC 1 pc</li></ul>,,,2025-11-03 15:01:47,2025-11-03 15:01:47
54,Lapangan,343,2025-10-27,"Irfan, Mesman",28454,<ul><li>Pasang Baut load guard</li><li>Rapikan Lampu</li></ul>,,<ul><li>Baut load guard 2 pcs</li><li>Rapikan Garpu 2 job</li></ul>,,,2025-11-03 16:21:12,2025-11-03 16:21:12
55,Lapangan,344,2025-11-03,"Irfan, Mesman",28453,<ul><li>Check Forklift</li><li>Ganti Aki</li></ul>,,<ul><li>Aki Amaron 90 A 1 pc</li></ul>,,,2025-11-03 16:22:15,2025-11-03 16:22:15
56,Lapangan,335,2025-11-04,"Afrizal, Rahul",28285,<ul><li>Ganti sealkit cylinder steering</li><li>Ganti sealkit transmisi</li><li>Ganti tali gas</li></ul>,<ul><li>Teflon side shift 2 pcs</li></ul>,<ul><li>Sealkit cylinder steering 1 set</li><li>Seal transmisi 1 pc</li><li>Seal gardan 1 pc</li><li>O-ring selenoid transmisi 1 pc</li><li>parking transmisi 1 pc</li><li>Oli transmisi 8 liter</li><li>tali gas 1 pc</li><li>seal grandshaft 1 pc depan</li><li>Belting Kipas 1 pc</li></ul>,,,2025-11-04 11:22:15,2025-11-04 11:22:15
57,Lapangan,352,2025-11-05,"Riki, Mesman",28438,<ul><li>Repair Panel Meter</li><li>Replace Oil Switch</li></ul>,,<ul><li>Panel Meter Repair 1 Job</li><li>Oil Switch 1 pc</li></ul>,,,2025-11-05 16:29:46,2025-11-05 16:29:46
58,Lapangan,448,2025-11-04,Riki,28437,<ul><li>Check Forklift</li></ul>,,<ul><li>Battery (R)</li></ul>,,,2025-11-05 16:32:44,2025-11-05 16:32:44
59,PM,466,2025-11-04,"Riki, Mesman",,Preventative Maintenance,,<ul><li>Preventative Maintenance 1 Jon</li><li>Hydraulic Oil 2 L</li></ul>,2025-12-04,,2025-11-05 16:34:56,2025-11-05 16:34:56
60,Lapangan,367,2025-10-28,Riki,28435,<ul><li>Ganti seal steering</li><li>Ganti seal hydraulic pump</li></ul>,,<ul><li>Seal kit steering cylinder 1 set</li><li>Seal kit steering hydraulic pump 1 set</li></ul>,,,2025-11-05 16:39:39,2025-11-05 16:39:39
61,Lapangan,366,2025-10-30,Riki,28434,<ul><li>Repair Meter Rusak&nbsp;</li><li>Back Buzzer Mati</li><li>Brake Master Bocor&nbsp;</li></ul>,<ul><li>Kuras Tank Solar 1 pc</li><li>Fuel Filter 1 pc</li></ul>,<ul><li>Panel Meter Repair 1 job</li><li>Repair Wiring Back BV22 1 job</li><li>Brake Master 1 pc</li></ul>,,,2025-11-05 16:45:11,2025-11-05 16:45:11
62,Lapangan,640,2025-11-07,Asep,awdad,awdwa,awdwad,wadawd,,2025-11-06 16:54:50,2025-11-06 16:54:39,2025-11-06 16:54:39
63,PM,408,2025-11-06,"Irfan, Rahul",28459,<ul><li>Ganti Hose Hydraulic</li><li>PM</li></ul>,,<ul><li>Hose hydraulic 1 pc</li><li>Oli Mesin 8 Liter</li><li>Filter Oli 1 pc</li><li>Filter Solar 1 pc</li><li>Saringan Udara 1 pc</li></ul>,2025-12-06,,2025-11-07 13:28:20,2025-11-07 08:37:46
64,PM,328,2025-11-05,"Irfan, Rahul",28458,Preventative Maintenance,<ul><li>Oli Mesin 8 liter</li><li>Oli Transmisi 1 liter</li><li>Filter Oli 1 pc</li><li>Filter solar 1 pc</li></ul>,<ul><li>Seal transmisi belakang bocor</li><li>Cylinder steering bocor</li></ul>,2025-12-05,,2025-11-07 08:56:05,2025-11-07 08:56:05
65,PM,340,2025-11-05,"Irfan, Rahul",28455,Preventative Maintenance,<ul><li>Oli Mesin 8 Liter</li><li>Filter Oli 1 pc</li><li>Filter Solar 1 pc</li><li>Teflon Side Shift 2 pcs</li><li>O-ring connector transmisi 1 pc</li><li>Keratin belting 1 job</li></ul>,<ul><li>Lampu rotary mati</li></ul>,2025-12-05,,2025-11-07 08:58:28,2025-11-07 08:58:28
66,Lapangan,419,2025-11-07,"Epan, Liping",28472,<ul><li>Repair Keranjang</li></ul>,,"<ul><li>Roda Keranjang 4 pcs</li><li>Plat 16m (tebal 6mm,lebar 26 cm,panjang 115 cm) 2 pcs</li></ul>",,,2025-11-07 14:54:10,2025-11-07 14:54:10
